GAME_DATE,ATTENDANCE,GAME_TIME,game_id
"FRIDAY, NOVEMBER 6, 2015",16676,2:16,0021500001
"FRIDAY, NOVEMBER 6, 2015",19596,2:12,0021500001
"FRIDAY, NOVEMBER 6, 2015",16983,2:33,0021500001
"SATURDAY, NOVEMBER 7, 2015",21988,2:32,0021500001
"SATURDAY, NOVEMBER 7, 2015",18047,2:02,0021500001
"SATURDAY, NOVEMBER 7, 2015",15207,2:26,0021500001
"SATURDAY, NOVEMBER 7, 2015",20454,2:11,0021500001
"SATURDAY, NOVEMBER 7, 2015",15228,2:04,0021500001
"SATURDAY, NOVEMBER 7, 2015",18418,2:09,0021500001
"SATURDAY, NOVEMBER 7, 2015",19456,2:11,0021500001
"SATURDAY, NOVEMBER 7, 2015",17317,2:07,0021500001
"SATURDAY, NOVEMBER 7, 2015",19361,2:28,0021500001
"SUNDAY, NOVEMBER 8, 2015",20562,2:20,0021500001
"SUNDAY, NOVEMBER 8, 2015",19812,2:16,0021500001
"SUNDAY, NOVEMBER 8, 2015",19600,2:12,0021500001
"SUNDAY, NOVEMBER 8, 2015",18203,2:15,0021500001
"SUNDAY, NOVEMBER 8, 2015",19393,2:08,0021500001
"MONDAY, NOVEMBER 9, 2015",13104,2:08,0021500001
"MONDAY, NOVEMBER 9, 2015",13879,2:07,0021500001
"MONDAY, NOVEMBER 9, 2015",12016,2:06,0021500001
"MONDAY, NOVEMBER 9, 2015",9153,2:16,0021500001
"MONDAY, NOVEMBER 9, 2015",17317,2:04,0021500001
"MONDAY, NOVEMBER 9, 2015",19596,2:04,0021500001
"MONDAY, NOVEMBER 9, 2015",19060,2:41,0021500001
"TUESDAY, NOVEMBER 10, 2015",20562,2:36,0021500001
"TUESDAY, NOVEMBER 10, 2015",20356,2:08,0021500001
"TUESDAY, NOVEMBER 10, 2015",19825,2:09,0021500001
"TUESDAY, NOVEMBER 10, 2015",19800,2:26,0021500001
"TUESDAY, NOVEMBER 10, 2015",11822,2:05,0021500001
"TUESDAY, NOVEMBER 10, 2015",14722,2:09,0021500001
"TUESDAY, NOVEMBER 10, 2015",17128,2:11,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",16643,2:11,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",18846,2:03,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",12744,2:10,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",17879,2:19,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",15597,2:06,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",19805,2:36,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",18155,2:08,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",18119,2:19,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",9403,2:09,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",17317,2:10,0021500001
"WEDNESDAY, NOVEMBER 11, 2015",19393,2:12,0021500001
"THURSDAY, NOVEMBER 12, 2015",19600,2:21,0021500001
"THURSDAY, NOVEMBER 12, 2015",16130,2:20,0021500001
"THURSDAY, NOVEMBER 12, 2015",17204,2:21,0021500001
"FRIDAY, NOVEMBER 13, 2015",16797,2:11,0021500001
"FRIDAY, NOVEMBER 13, 2015",16709,2:07,0021500001
"FRIDAY, NOVEMBER 13, 2015",17138,2:12,0021500001
"FRIDAY, NOVEMBER 13, 2015",19812,2:21,0021500001
"FRIDAY, NOVEMBER 13, 2015",19800,2:08,0021500001
"FRIDAY, NOVEMBER 13, 2015",21749,2:08,0021500001
"FRIDAY, NOVEMBER 13, 2015",16919,2:25,0021500001
"FRIDAY, NOVEMBER 13, 2015",18203,2:09,0021500001
"FRIDAY, NOVEMBER 13, 2015",20260,2:18,0021500001
"FRIDAY, NOVEMBER 13, 2015",16113,2:29,0021500001
"FRIDAY, NOVEMBER 13, 2015",17131,2:25,0021500001
"SATURDAY, NOVEMBER 14, 2015",19060,2:27,0021500001
"SATURDAY, NOVEMBER 14, 2015",18311,2:11,0021500001
"SATURDAY, NOVEMBER 14, 2015",18231,2:19,0021500001
