"CLOSE_DEF_PERSON_ID","GP","G","DEFENSE_CATEGORY","FREQ","D_FGM","D_FGA","D_FG_PCT","NORMAL_FG_PCT","PCT_PLUSMINUS","DEF_PERSON_NAME"
"101112","69","63","Less Than 6 Ft","0.378","1.48","2.64","0.560","0.607","-0.046","Channing Frye"
"101112","69","66","Less Than 10 Ft","0.486","1.78","3.39","0.526","0.552","-0.026","Channing Frye"
"101112","69","62","Greater Than 15 Ft","0.445","1.25","3.10","0.402","0.369"," 0.033","Channing Frye"
"2563","1","1","Overall","1.000","8","17","0.471","0.397"," 0.074","Dahntay Jones"
"2563","1","1","3 Pointers","0.471","5"," 8","0.625","0.411"," 0.214","Dahntay Jones"
"2563","1","1","2 Pointers","0.529","3"," 9","0.333","0.425","-0.092","Dahntay Jones"
"2563","1","1","Less Than 6 Ft","0.176","1"," 3","0.333","0.503","-0.170","Dahntay Jones"
"2563","1","1","Less Than 10 Ft","0.176","1"," 3","0.333","0.384","-0.050","Dahntay Jones"
"2563","1","1","Greater Than 15 Ft","0.706","6","12","0.500","0.379"," 0.121","Dahntay Jones"
"202697","54","54","Overall","1.000","3.22","7.24","0.445","0.445"," 0.000","Iman Shumpert"
"202697","54","52","3 Pointers","0.402","1.13","2.91","0.389","0.351"," 0.037","Iman Shumpert"
"202697","54","52","2 Pointers","0.598","2.09","4.33","0.483","0.489","-0.006","Iman Shumpert"
"202697","54","42","Less Than 6 Ft","0.225","1.02","1.63","0.625","0.612"," 0.013","Iman Shumpert"
"202697","54","47","Less Than 10 Ft","0.307","1.17","2.22","0.525","0.553","-0.028","Iman Shumpert"
"202697","54","54","Greater Than 15 Ft","0.588","1.69","4.26","0.396","0.368"," 0.027","Iman Shumpert"
"2747","77","77","Overall","1.000","3.35","7.51","0.446","0.442","0.005","J.R. Smith"
"2747","77","74","3 Pointers","0.403","1.09","3.03","0.361","0.353","0.007","J.R. Smith"
"2747","77","73","2 Pointers","0.597","2.26","4.48","0.504","0.483","0.021","J.R. Smith"
"2747","77","62","Less Than 6 Ft","0.225","1.14","1.69","0.677","0.610","0.067","J.R. Smith"
"2747","77","68","Less Than 10 Ft","0.313","1.42","2.35","0.602","0.549","0.054","J.R. Smith"
"2747","77","76","Greater Than 15 Ft","0.625","1.75","4.69","0.374","0.371","0.003","J.R. Smith"
"2592","39","39","Overall","1.000","1.41","3.15","0.447","0.452","-0.005","James Jones"
"2592","39","21","3 Pointers","0.317","0.26","1.00","0.256","0.353","-0.096","James Jones"
"2592","39","36","2 Pointers","0.683","1.15","2.15","0.536","0.492"," 0.044","James Jones"
"2592","39","26","Less Than 6 Ft","0.374","0.69","1.18","0.587","0.606","-0.019","James Jones"
"2592","39","31","Less Than 10 Ft","0.455","0.77","1.44","0.536","0.541","-0.005","James Jones"
"2592","39","32","Greater Than 15 Ft","0.463","0.51","1.46","0.351","0.371","-0.020","James Jones"
"203099","30","30","Overall","1.000","1.83","4.10","0.447","0.433","0.014","Jared Cunningham"
"203099","30","20","3 Pointers","0.390","0.57","1.60","0.354","0.340","0.014","Jared Cunningham"
"203099","30","26","2 Pointers","0.610","1.27","2.50","0.507","0.476","0.031","Jared Cunningham"
"203099","30","18","Less Than 6 Ft","0.268","0.77","1.10","0.697","0.584","0.113","Jared Cunningham"
"203099","30","21","Less Than 10 Ft","0.374","0.90","1.53","0.587","0.522","0.065","Jared Cunningham"
"203099","30","25","Greater Than 15 Ft","0.577","0.90","2.37","0.380","0.365","0.015","Jared Cunningham"
"203925","3","3","Overall","1.000","1.67","2.00","0.833","0.427","0.407","Joe Harris"
"203925","3","0","3 Pointers",NA,NA,NA,NA,NA,NA,"Joe Harris"
"203925","3","3","2 Pointers","1.000","1.67","2.00","0.833","0.447","0.386","Joe Harris"
"203925","3","2","Less Than 6 Ft","0.500","1.00","1.00","1.000","0.622","0.378","Joe Harris"
"203925","3","3","Less Than 10 Ft","0.833","1.33","1.67","0.800","0.488","0.312","Joe Harris"
"203925","3","0","Greater Than 15 Ft",NA,NA,NA,NA,NA,NA,"Joe Harris"
"203895","16","16","Overall","1.000","1.56","3.44","0.455","0.416"," 0.039","Jordan McRae"
"203895","16","11","3 Pointers","0.418","0.56","1.44","0.391","0.336"," 0.055","Jordan McRae"
"203895","16","14","2 Pointers","0.582","1.00","2.00","0.500","0.464"," 0.036","Jordan McRae"
"203895","16"," 8","Less Than 6 Ft","0.255","0.38","0.88","0.429","0.578","-0.150","Jordan McRae"
"203895","16"," 9","Less Than 10 Ft","0.291","0.44","1.00","0.438","0.510","-0.072","Jordan McRae"
"203895","16","13","Greater Than 15 Ft","0.564","0.81","1.94","0.419","0.355"," 0.064","Jordan McRae"
"201567","75","75","Overall","1.000","6.72","13.41","0.501","0.465","0.036","Kevin Love"
"201567","75","67","3 Pointers","0.182","0.95"," 2.44","0.388","0.356","0.032","Kevin Love"
"201567","75","75","2 Pointers","0.818","5.77","10.97","0.526","0.497","0.029","Kevin Love"
"201567","75","73","Less Than 6 Ft","0.371","3.09"," 4.97","0.622","0.607","0.015","Kevin Love"
"201567","75","74","Less Than 10 Ft","0.551","4.24"," 7.39","0.574","0.552","0.022","Kevin Love"
"201567","75","74","Greater Than 15 Ft","0.361","1.99"," 4.84","0.410","0.377","0.034","Kevin Love"
"202681","53","53","Overall","1.000","3.74","8.66","0.431","0.438","-0.007","Kyrie Irving"
"202681","53","50","3 Pointers","0.344","1.04","2.98","0.348","0.354","-0.006","Kyrie Irving"
