GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
0021500015,1610612740,Pelicans,NOP,New Orleans,240:00,89.6,111.8,-22.2,0.528,1.73,14.7,0.1,0.85,0.433,0.105,0.456,0.475,0.2,102.54,0.376
0021500016,1610612758,Kings,SAC,Sacramento,240:00,96.4,108.1,-11.8,0.585,1.33,16.7,0.25,0.86,0.538,0.167,0.495,0.51,0.197,105.28,0.429
0021500016,1610612746,Clippers,LAC,Los Angeles,240:00,108.1,96.4,11.8,0.476,1.33,15.5,0.14,0.75,0.462,0.146,0.563,0.593,0.2,105.28,0.571
0021500017,1610612750,Timberwolves,MIN,Minnesota,240:00,110.6,103.4,7.2,0.632,3.0,18.3,0.143,0.733,0.448,0.079,0.488,0.564,0.2,104.34,0.554
0021500017,1610612747,Lakers,LAL,Los Angeles,240:00,103.4,110.6,-7.2,0.514,1.29,13.1,0.267,0.857,0.552,0.13,0.439,0.527,0.198,104.34,0.446
0021500018,1610612763,Grizzlies,MEM,Memphis,240:00,115.8,104.5,11.2,0.634,1.86,19.3,0.3,0.75,0.525,0.145,0.543,0.591,0.2,97.66,0.568
0021500018,1610612754,Pacers,IND,Indiana,240:00,104.5,115.8,-11.2,0.622,1.15,17.5,0.25,0.7,0.475,0.203,0.551,0.582,0.2,97.66,0.432
0021500019,1610612752,Knicks,NYK,New York,240:00,94.2,108.3,-14.1,0.553,1.0,14.6,0.333,0.821,0.552,0.196,0.441,0.494,0.2,105.34,0.41
0021500019,1610612737,Hawks,ATL,Atlanta,240:00,108.3,94.2,14.1,0.619,1.63,19.1,0.179,0.667,0.448,0.155,0.566,0.593,0.198,105.34,0.59
0021500020,1610612746,Clippers,LAC,Los Angeles,240:00,102.4,85.8,16.7,0.553,2.63,16.1,0.163,0.763,0.491,0.079,0.483,0.512,0.2,102.06,0.622
0021500020,1610612742,Mavericks,DAL,Dallas,240:00,85.8,102.4,-16.7,0.629,1.69,15.9,0.237,0.837,0.509,0.127,0.392,0.425,0.198,102.06,0.378
0021500021,1610612748,Heat,MIA,Miami,240:00,98.2,110.6,-12.4,0.636,1.62,17.4,0.146,0.696,0.437,0.139,0.468,0.531,0.2,92.96,0.449
0021500021,1610612739,Cavaliers,CLE,Cleveland,240:00,110.6,98.2,12.4,0.641,2.27,19.0,0.304,0.854,0.563,0.119,0.488,0.535,0.2,92.96,0.551
0021500022,1610612753,Magic,ORL,Orlando,290:00,107.3,110.6,-3.2,0.532,1.39,15.1,0.259,0.614,0.441,0.142,0.5,0.554,0.197,104.46,0.492
0021500022,1610612760,Thunder,OKC,Oklahoma City,290:00,110.6,107.3,3.2,0.38,0.9,11.4,0.386,0.741,0.559,0.167,0.491,0.548,0.199,104.46,0.508
0021500023,1610612762,Jazz,UTA,Utah,240:00,105.3,78.6,26.7,0.528,2.38,15.1,0.295,0.826,0.567,0.085,0.449,0.5,0.198,92.14,0.735
0021500023,1610612755,76ers,PHI,Philadelphia,240:00,78.6,105.3,-26.7,0.789,0.79,13.2,0.174,0.705,0.433,0.21,0.349,0.448,0.198,92.14,0.265
0021500024,1610612761,Raptors,TOR,Toronto,240:00,102.4,91.1,11.2,0.639,1.05,16.2,0.225,0.863,0.582,0.199,0.506,0.58,0.198,111.72,0.569
0021500024,1610612738,Celtics,BOS,Boston,240:00,91.1,102.4,-11.2,0.719,1.35,16.1,0.137,0.775,0.418,0.15,0.418,0.5,0.2,111.72,0.431
0021500025,1610612765,Pistons,DET,Detroit,265:00,88.0,87.5,0.5,0.462,1.2,12.1,0.323,0.837,0.55,0.135,0.404,0.421,0.198,99.06,0.481
0021500025,1610612741,Bulls,CHI,Chicago,265:00,87.5,88.0,-0.5,0.529,0.9,13.5,0.163,0.677,0.45,0.186,0.446,0.492,0.198,99.06,0.519
0021500026,1610612766,Hornets,CHA,Charlotte,240:00,93.3,97.3,-4.0,0.639,1.15,16.8,0.26,0.837,0.545,0.199,0.477,0.501,0.196,100.2,0.475
0021500026,1610612737,Hawks,ATL,Atlanta,240:00,97.3,93.3,4.0,0.639,1.53,17.6,0.163,0.74,0.455,0.15,0.482,0.523,0.2,100.2,0.525
0021500027,1610612764,Wizards,WAS,Washington,240:00,117.6,108.3,9.3,0.714,1.19,18.7,0.235,0.829,0.536,0.209,0.603,0.675,0.2,102.34,0.532
0021500027,1610612749,Bucks,MIL,Milwaukee,240:00,108.3,117.6,-9.3,0.786,2.06,23.0,0.171,0.765,0.464,0.153,0.555,0.599,0.2,102.34,0.468
0021500028,1610612759,Spurs,SAS,San Antonio,240:00,104.4,77.6,26.7,0.575,1.28,17.3,0.286,0.957,0.636,0.184,0.517,0.556,0.2,97.16,0.689
0021500028,1610612751,Nets,BKN,Brooklyn,240:00,77.6,104.4,-26.7,0.548,1.13,14.7,0.043,0.714,0.364,0.155,0.435,0.449,0.2,97.16,0.311
0021500029,1610612750,Timberwolves,MIN,Minnesota,240:00,95.0,76.6,18.3,0.6,1.0,14.4,0.171,0.712,0.49,0.18,0.437,0.533,0.198,100.92,0.711
0021500029,1610612743,Nuggets,DEN,Denver,240:00,76.6,95.0,-18.3,0.517,1.0,11.2,0.288,0.829,0.51,0.147,0.332,0.376,0.198,100.92,0.289
0021500030,1610612745,Rockets,HOU,Houston,240:00,89.5,110.9,-21.4,0.633,1.12,14.2,0.25,0.771,0.51,0.165,0.396,0.47,0.198,101.92,0.387
0021500030,1610612744,Warriors,GSW,Golden State,240:00,110.9,89.5,21.4,0.605,3.25,18.8,0.229,0.75,0.49,0.079,0.511,0.538,0.2,101.92,0.613
0021500031,1610612758,Kings,SAC,Sacramento,240:00,117.6,101.9,15.8,0.5,1.86,16.9,0.356,0.833,0.602,0.125,0.545,0.578,0.2,112.04,0.599
0021500031,1610612747,Lakers,LAL,Los Angeles,240:00,101.9,117.6,-15.8,0.488,1.05,14.3,0.167,0.644,0.398,0.17,0.522,0.565,0.2,112.04,0.401
0021500032,1610612757,Trail Blazers,POR,Portland,240:00,86.5,99.6,-13.1,0.5,0.74,12.7,0.2,0.738,0.433,0.216,0.448,0.487,0.2,108.42,0.31
0021500032,1610612756,Suns,PHX,Phoenix,240:00,99.6,86.5,13.1,0.459,0.85,12.3,0.262,0.8,0.567,0.181,0.47,0.542,0.198,108.42,0.69
0021500033,1610612762,Jazz,UTA,Utah,240:00,99.1,79.0,20.1,0.385,0.88,11.7,0.357,0.821,0.58,0.174,0.477,0.506,0.2,97.08,0.653
0021500033,1610612754,Pacers,IND,Indiana,240:00,79.0,99.1,-20.1,0.357,0.42,8.8,0.179,0.643,0.42,0.249,0.429,0.48,0.2,97.08,0.347
0021500034,1610612764,Wizards,WAS,Washington,240:00,97.8,106.3,-8.5,0.447,0.89,12.1,0.262,0.78,0.518,0.169,0.456,0.526,0.197,111.3,0.444
0021500034,1610612752,Knicks,NYK,New York,240:00,106.3,97.8,8.5,0.512,1.11,15.0,0.22,0.738,0.482,0.173,0.529,0.585,0.198,111.3,0.556
0021500035,1610612740,Pelicans,NOP,New Orleans,240:00,109.0,125.9,-17.0,0.478,1.38,14.9,0.314,0.914,0.558,0.145,0.5,0.545,0.198,108.26,0.421
0021500035,1610612744,Warriors,GSW,Golden State,240:00,125.9,109.0,17.0,0.565,2.6,19.2,0.086,0.686,0.442,0.094,0.649,0.674,0.2,108.26,0.579
0021500036,1610612763,Grizzlies,MEM,Memphis,240:00,111.8,100.1,11.7,0.765,2.89,20.4,0.239,0.795,0.494,0.1,0.481,0.547,0.2,90.62,0.554
0021500036,1610612751,Nets,BKN,Brooklyn,240:00,100.1,111.8,-11.7,0.553,1.75,17.5,0.205,0.761,0.506,0.132,0.5,0.523,0.2,90.62,0.446
0021500037,1610612757,Trail Blazers,POR,Portland,240:00,92.5,98.0,-5.5,0.606,1.25,15.7,0.213,0.761,0.484,0.164,0.468,0.493,0.2,100.18,0.446
0021500037,1610612756,Suns,PHX,Phoenix,240:00,98.0,92.5,5.5,0.41,1.23,12.3,0.239,0.787,0.516,0.126,0.473,0.5,0.2,100.18,0.554
0021500038,1610612758,Kings,SAC,Sacramento,240:00,101.9,106.3,-4.4,0.465,1.43,13.7,0.352,0.833,0.544,0.131,0.455,0.487,0.198,107.12,0.403
0021500038,1610612746,Clippers,LAC,Los Angeles,240:00,106.3,101.9,4.4,0.641,1.47,18.1,0.167,0.648,0.456,0.159,0.539,0.592,0.2,107.12,0.597
0021500039,1610612766,Hornets,CHA,Charlotte,240:00,96.2,97.8,-1.5,0.844,2.25,20.5,0.188,0.8,0.484,0.126,0.453,0.497,0.198,95.88,0.499
0021500039,1610612737,Hawks,ATL,Atlanta,240:00,97.8,96.2,1.5,0.595,2.0,17.3,0.2,0.813,0.516,0.114,0.46,0.499,0.2,95.88,0.501
0021500040,1610612759,Spurs,SAS,San Antonio,240:00,91.3,83.5,7.8,0.611,1.1,16.2,0.256,0.719,0.531,0.192,0.464,0.505,0.196,104.08,0.621
0021500040,1610612738,Celtics,BOS,Boston,240:00,83.5,91.3,-7.8,0.6,1.31,14.9,0.281,0.744,0.469,0.154,0.388,0.418,0.2,104.08,0.379
0021500041,1610612748,Heat,MIA,Miami,240:00,109.8,87.3,22.5,0.571,1.6,17.9,0.262,0.925,0.585,0.151,0.541,0.572,0.195,100.58,0.641
0021500041,1610612745,Rockets,HOU,Houston,240:00,87.3,109.8,-22.5,0.625,1.11,16.0,0.075,0.738,0.415,0.177,0.468,0.512,0.198,100.58,0.359
0021500042,1610612761,Raptors,TOR,Toronto,240:00,111.8,96.1,15.7,0.537,1.57,16.3,0.409,0.8,0.582,0.148,0.517,0.536,0.198,92.68,0.566
0021500042,1610612749,Bucks,MIL,Milwaukee,240:00,96.1,111.8,-15.7,0.724,1.17,17.7,0.2,0.591,0.418,0.199,0.457,0.547,0.2,92.68,0.434
0021500043,1610612753,Magic,ORL,Orlando,240:00,84.9,91.4,-6.5,0.6,1.24,15.5,0.25,0.738,0.478,0.166,0.428,0.446,0.198,101.58,0.428
0021500043,1610612741,Bulls,CHI,Chicago,240:00,91.4,84.9,6.5,0.697,1.53,17.1,0.262,0.75,0.522,0.149,0.42,0.476,0.196,101.58,0.572
0021500044,1610612760,Thunder,OKC,Oklahoma City,240:00,117.1,93.6,23.5,0.711,1.68,22.1,0.382,0.725,0.588,0.19,0.599,0.623,0.2,99.64,0.671
0021500044,1610612743,Nuggets,DEN,Denver,240:00,93.6,117.1,-23.5,0.571,1.54,15.0,0.275,0.618,0.412,0.131,0.429,0.463,0.2,99.64,0.329
0021500045,1610612747,Lakers,LAL,Los Angeles,240:00,91.8,106.1,-14.4,0.581,1.5,14.1,0.163,0.81,0.462,0.118,0.424,0.478,0.2,99.18,0.409
0021500045,1610612742,Mavericks,DAL,Dallas,240:00,106.1,91.8,14.4,0.7,2.55,21.0,0.19,0.837,0.538,0.113,0.523,0.548,0.2,99.18,0.591
0021500046,1610612755,76ers,PHI,Philadelphia,240:00,99.9,108.3,-8.4,0.579,1.57,16.8,0.2,0.8,0.463,0.14,0.488,0.526,0.198,99.46,0.429
0021500046,1610612739,Cavaliers,CLE,Cleveland,240:00,108.3,99.9,8.4,0.667,1.75,20.9,0.2,0.8,0.538,0.162,0.568,0.596,0.2,99.46,0.571
0021500047,1610612749,Bucks,MIL,Milwaukee,240:00,113.9,99.3,14.6,0.632,1.71,19.6,0.242,0.737,0.507,0.155,0.582,0.61,0.2,93.56,0.58
0021500047,1610612751,Nets,BKN,Brooklyn,240:00,99.3,113.9,-14.6,0.583,1.17,16.4,0.263,0.758,0.493,0.186,0.494,0.541,0.2,93.56,0.42
0021500048,1610612759,Spurs,SAS,San Antonio,240:00,101.6,92.1,9.6,0.538,1.5,17.3,0.2,0.685,0.479,0.151,0.519,0.543,0.198,91.86,0.608
0021500048,1610612752,Knicks,NYK,New York,240:00,92.1,101.6,-9.6,0.531,1.7,13.6,0.315,0.8,0.521,0.11,0.382,0.428,0.2,91.86,0.392
0021500049,1610612760,Thunder,OKC,Oklahoma City,240:00,100.3,103.0,-2.7,0.425,0.68,12.5,0.341,0.854,0.618,0.239,0.536,0.56,0.198,105.72,0.47
0021500049,1610612745,Rockets,HOU,Houston,240:00,103.0,100.3,2.7,0.537,1.83,16.2,0.146,0.659,0.382,0.112,0.511,0.54,0.2,105.72,0.53
0021500050,1610612757,Trail Blazers,POR,Portland,240:00,103.1,97.9,5.2,0.439,1.13,13.7,0.25,0.814,0.529,0.156,0.511,0.542,0.2,102.98,0.486
0021500050,1610612750,Timberwolves,MIN,Minnesota,240:00,97.9,103.1,-5.2,0.647,1.47,16.5,0.186,0.75,0.471,0.145,0.449,0.525,0.2,102.98,0.514
0021500051,1610612763,Grizzlies,MEM,Memphis,240:00,65.2,117.6,-52.4,0.808,1.75,15.2,0.167,0.767,0.404,0.113,0.286,0.329,0.198,103.5,0.16
0021500051,1610612744,Warriors,GSW,Golden State,240:00,117.6,65.2,52.4,0.744,2.29,22.3,0.233,0.833,0.596,0.138,0.577,0.612,0.2,103.5,0.84
0021500052,1610612756,Suns,PHX,Phoenix,240:00,94.8,102.9,-8.1,0.639,2.3,16.4,0.271,0.929,0.545,0.099,0.413,0.448,0.198,100.18,0.441
0021500052,1610612746,Clippers,LAC,Los Angeles,240:00,102.9,94.8,8.1,0.541,1.82,16.4,0.071,0.729,0.455,0.111,0.506,0.56,0.2,100.18,0.559
0021500053,1610612741,Bulls,CHI,Chicago,240:00,102.4,131.2,-28.7,0.591,2.0,19.6,0.091,0.707,0.388,0.127,0.567,0.561,0.198,100.82,0.368
0021500053,1610612766,Hornets,CHA,Charlotte,240:00,131.2,102.4,28.7,0.553,2.6,19.0,0.293,0.909,0.612,0.101,0.593,0.643,0.198,100.82,0.632
0021500054,1610612754,Pacers,IND,Indiana,240:00,96.6,84.1,12.5,0.553,1.31,16.1,0.279,0.612,0.457,0.164,0.472,0.504,0.198,97.38,0.652
0021500054,1610612765,Pistons,DET,Detroit,240:00,84.1,96.6,-12.5,0.424,0.61,10.7,0.388,0.721,0.543,0.236,0.413,0.439,0.2,97.38,0.348
0021500055,1610612748,Heat,MIA,Miami,240:00,92.9,98.3,-5.4,0.342,0.68,10.4,0.271,0.692,0.49,0.192,0.471,0.494,0.198,99.36,0.438
0021500055,1610612737,Hawks,ATL,Atlanta,240:00,98.3,92.9,5.4,0.676,1.56,17.8,0.308,0.729,0.51,0.161,0.45,0.492,0.198,99.36,0.562
0021500056,1610612753,Magic,ORL,Orlando,240:00,99.7,89.5,10.2,0.571,1.33,17.5,0.217,0.818,0.545,0.174,0.506,0.541,0.2,104.14,0.55
0021500056,1610612740,Pelicans,NOP,New Orleans,240:00,89.5,99.7,-10.2,0.719,1.64,16.7,0.182,0.783,0.455,0.133,0.422,0.465,0.2,104.14,0.45
0021500057,1610612761,Raptors,TOR,Toronto,240:00,102.6,91.9,10.7,0.486,1.13,14.1,0.25,0.725,0.516,0.161,0.482,0.546,0.2,99.22,0.608
0021500057,1610612742,Mavericks,DAL,Dallas,240:00,91.9,102.6,-10.7,0.606,1.25,15.0,0.275,0.75,0.484,0.162,0.424,0.469,0.198,99.22,0.392
0021500058,1610612758,Kings,SAC,Sacramento,240:00,91.2,104.0,-12.9,0.586,1.21,13.9,0.174,0.692,0.412,0.143,0.439,0.486,0.198,98.3,0.375
0021500058,1610612763,Grizzlies,MEM,Memphis,240:00,104.0,91.2,12.9,0.575,1.35,17.2,0.308,0.826,0.588,0.172,0.5,0.548,0.198,98.3,0.625
0021500059,1610612747,Lakers,LAL,Los Angeles,240:00,106.1,116.9,-10.8,0.5,1.64,13.7,0.224,0.725,0.449,0.107,0.453,0.531,0.198,102.68,0.393
0021500059,1610612743,Nuggets,DEN,Denver,240:00,116.9,106.1,10.8,0.698,2.0,20.9,0.275,0.776,0.551,0.146,0.547,0.608,0.198,102.68,0.607
0021500060,1610612754,Pacers,IND,Indiana,240:00,103.3,101.4,2.0,0.514,1.29,13.3,0.382,0.681,0.52,0.145,0.429,0.482,0.2,96.72,0.493
0021500060,1610612738,Celtics,BOS,Boston,240:00,101.4,103.3,-2.0,0.571,1.05,15.2,0.319,0.618,0.48,0.197,0.482,0.529,0.2,96.72,0.507
0021500061,1610612764,Wizards,WAS,Washington,240:00,102.9,97.2,5.6,0.643,2.7,20.7,0.091,0.763,0.402,0.101,0.529,0.547,0.2,100.48,0.532
0021500061,1610612759,Spurs,SAS,San Antonio,240:00,97.2,102.9,-5.6,0.568,1.0,15.9,0.237,0.909,0.598,0.206,0.5,0.551,0.198,100.48,0.468
0021500062,1610612751,Nets,BKN,Brooklyn,240:00,92.8,105.7,-12.9,0.667,1.26,18.2,0.333,0.829,0.558,0.203,0.464,0.49,0.2,94.64,0.405
0021500062,1610612737,Hawks,ATL,Atlanta,240:00,105.7,92.8,12.9,0.73,1.8,21.0,0.171,0.667,0.442,0.157,0.539,0.583,0.196,94.64,0.595
0021500063,1610612752,Knicks,NYK,New York,240:00,90.9,95.0,-4.1,0.485,1.23,13.4,0.188,0.775,0.455,0.137,0.44,0.475,0.198,97.84,0.409
0021500063,1610612739,Cavaliers,CLE,Cleveland,240:00,95.0,90.9,4.1,0.636,1.62,16.0,0.225,0.813,0.545,0.129,0.44,0.494,0.196,97.84,0.591
0021500064,1610612753,Magic,ORL,Orlando,265:00,107.2,111.3,-4.1,0.609,1.75,19.5,0.22,0.644,0.442,0.15,0.544,0.574,0.197,96.6,0.502
0021500064,1610612745,Rockets,HOU,Houston,265:00,111.3,107.2,4.1,0.667,1.4,18.5,0.356,0.78,0.558,0.187,0.54,0.578,0.198,96.6,0.498
0021500065,1610612755,76ers,PHI,Philadelphia,240:00,92.0,95.3,-3.3,0.676,1.21,17.7,0.3,0.83,0.586,0.201,0.457,0.497,0.198,95.04,0.505
0021500065,1610612749,Bucks,MIL,Milwaukee,240:00,95.3,92.0,3.3,0.686,2.4,18.8,0.17,0.7,0.414,0.105,0.453,0.487,0.2,95.04,0.495
0021500066,1610612761,Raptors,TOR,Toronto,240:00,103.9,101.9,2.0,0.364,0.8,9.7,0.286,0.75,0.523,0.151,0.449,0.536,0.198,97.66,0.518
0021500066,1610612760,Thunder,OKC,Oklahoma City,240:00,101.9,103.9,-2.0,0.667,1.37,19.5,0.25,0.714,0.477,0.198,0.524,0.556,0.2,97.66,0.482
0021500067,1610612758,Kings,SAC,Sacramento,240:00,95.8,113.8,-18.0,0.625,1.32,18.8,0.179,0.743,0.446,0.188,0.542,0.543,0.196,102.48,0.372
0021500067,1610612756,Suns,PHX,Phoenix,240:00,113.8,95.8,18.0,0.6,1.35,19.3,0.257,0.821,0.554,0.193,0.627,0.637,0.196,102.48,0.628
0021500068,1610612762,Jazz,UTA,Utah,240:00,96.3,111.2,-14.9,0.273,1.0,7.5,0.314,0.649,0.455,0.094,0.403,0.449,0.2,96.3,0.415
0021500068,1610612757,Trail Blazers,POR,Portland,240:00,111.2,96.3,14.9,0.268,0.58,9.1,0.351,0.686,0.545,0.196,0.604,0.593,0.2,96.3,0.585
0021500069,1610612746,Clippers,LAC,Los Angeles,240:00,107.3,110.2,-2.9,0.558,1.85,17.8,0.233,0.775,0.494,0.129,0.534,0.553,0.196,101.16,0.459
0021500069,1610612744,Warriors,GSW,Golden State,240:00,110.2,107.3,2.9,0.718,2.33,20.2,0.225,0.767,0.506,0.118,0.518,0.568,0.2,101.16,0.541
0021500070,1610612760,Thunder,OKC,Oklahoma City,240:00,105.6,110.4,-4.8,0.553,2.33,17.1,0.2,0.761,0.484,0.097,0.482,0.528,0.2,93.52,0.482
0021500070,1610612741,Bulls,CHI,Chicago,240:00,110.4,105.6,4.8,0.5,3.33,16.0,0.239,0.8,0.516,0.064,0.483,0.524,0.2,93.52,0.518
0021500071,1610612750,Timberwolves,MIN,Minnesota,240:00,83.4,100.0,-16.6,0.533,1.0,12.6,0.222,0.829,0.512,0.159,0.376,0.444,0.2,98.34,0.39
0021500071,1610612748,Heat,MIA,Miami,240:00,100.0,83.4,16.6,0.378,0.88,12.0,0.171,0.778,0.488,0.167,0.513,0.552,0.2,98.34,0.61
0021500072,1610612742,Mavericks,DAL,Dallas,240:00,95.1,108.6,-13.5,0.531,1.31,13.7,0.167,0.818,0.478,0.131,0.427,0.501,0.2,99.18,0.453
0021500072,1610612766,Hornets,CHA,Charlotte,240:00,108.6,95.1,13.5,0.432,1.73,15.0,0.182,0.833,0.522,0.111,0.528,0.56,0.2,99.18,0.547
0021500073,1610612762,Jazz,UTA,Utah,240:00,104.9,93.4,11.6,0.622,2.09,18.2,0.261,0.738,0.489,0.12,0.5,0.519,0.198,90.72,0.538
0021500073,1610612743,Nuggets,DEN,Denver,240:00,93.4,104.9,-11.6,0.571,1.14,13.7,0.262,0.739,0.511,0.156,0.424,0.483,0.198,90.72,0.462
0021500074,1610612757,Trail Blazers,POR,Portland,240:00,126.7,107.6,19.1,0.659,3.22,21.7,0.326,0.825,0.566,0.099,0.592,0.6,0.198,90.02,0.563
0021500074,1610612763,Grizzlies,MEM,Memphis,240:00,107.6,126.7,-19.1,0.541,2.0,17.2,0.175,0.674,0.434,0.112,0.526,0.557,0.196,90.02,0.437
0021500075,1610612761,Raptors,TOR,Toronto,240:00,92.8,98.2,-5.4,0.433,1.3,10.7,0.306,0.829,0.524,0.107,0.378,0.44,0.198,93.72,0.431
0021500075,1610612753,Magic,ORL,Orlando,240:00,98.2,92.8,5.4,0.667,1.69,18.1,0.171,0.694,0.476,0.139,0.487,0.531,0.198,93.72,0.569
0021500076,1610612764,Wizards,WAS,Washington,240:00,87.4,108.1,-20.7,0.639,0.96,15.8,0.208,0.7,0.459,0.214,0.455,0.499,0.2,110.62,0.374
