PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,made,79.0,"Teague, Jeff",201952.0,0.02,0.8,0.03,0.06,0.14,0.455,0.05,0.1,0.5,0.01,0.04,0.333
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,made,79.0,"Holiday, Justin",203200.0,0.011,0.43,0.05,0.05,0.13,0.4,0.04,0.05,0.75,0.01,0.08,0.167
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,made,79.0,"Hinrich, Kirk",2550.0,0.004,0.16,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,made,79.0,"Tavares, Walter",204002.0,0.002,0.08,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,made,79.0,"Mack, Shelvin",202714.0,0.001,0.04,0.01,0.01,0.01,1.0,0.01,0.01,1.0,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Millsap, Paul",200794.0,0.286,14.69,1.17,1.67,3.97,0.419,1.37,2.86,0.48,0.29,1.12,0.264
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Horford, Al",201143.0,0.28,14.37,2.08,2.29,4.58,0.501,1.86,3.24,0.573,0.44,1.33,0.327
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Korver, Kyle",2594.0,0.129,6.62,0.88,0.97,2.32,0.42,0.33,0.68,0.491,0.64,1.64,0.391
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Bazemore, Kent",203145.0,0.109,5.6,0.65,0.74,1.9,0.392,0.37,0.86,0.433,0.37,1.04,0.358
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Sefolosha, Thabo",200757.0,0.052,2.65,0.26,0.32,0.59,0.543,0.27,0.42,0.636,0.05,0.17,0.308
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Scott, Mike",203118.0,0.038,1.97,0.23,0.24,0.67,0.365,0.21,0.32,0.64,0.04,0.35,0.111
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Muscala, Mike",203488.0,0.025,1.31,0.15,0.15,0.33,0.462,0.14,0.23,0.611,0.01,0.1,0.125
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Splitter, Tiago",201168.0,0.022,1.15,0.14,0.15,0.37,0.414,0.15,0.36,0.429,0.0,0.01,0.0
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Humphries, Kris",2743.0,0.017,0.9,0.1,0.12,0.22,0.529,0.1,0.15,0.667,0.01,0.06,0.2
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Schroder, Dennis",203471.0,0.014,0.73,0.04,0.04,0.18,0.214,0.03,0.1,0.25,0.01,0.08,0.167
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Hardaway Jr., Tim",203501.0,0.013,0.67,0.13,0.12,0.23,0.5,0.08,0.14,0.545,0.04,0.09,0.429
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Patterson, Lamar",203934.0,0.007,0.35,0.03,0.03,0.09,0.286,0.03,0.04,0.667,0.0,0.05,0.0
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Holiday, Justin",203200.0,0.004,0.19,0.03,0.03,0.09,0.286,0.01,0.05,0.25,0.01,0.04,0.333
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Tavares, Walter",204002.0,0.002,0.09,0.01,0.01,0.03,0.5,0.01,0.03,0.5,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,made,78.0,"Mack, Shelvin",202714.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Schroder, Dennis",203471.0,0.067,0.76,0.0,0.04,0.1,0.4,0.04,0.08,0.5,0.0,0.02,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Mack, Shelvin",202714.0,0.065,0.75,0.0,0.0,0.14,0.0,0.0,0.08,0.0,0.0,0.06,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Teague, Jeff",201952.0,0.041,0.47,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Muscala, Mike",203488.0,0.033,0.37,0.04,0.04,0.04,1.0,0.04,0.04,1.0,0.0,0.0,
