0,1
201143,Al Horford
203471,Dennis Schroder
201952,Jeff Teague
203200,Justin Holiday
203145,Kent Bazemore
2550,Kirk Hinrich
2743,Kris Humphries
2594,Kyle Korver
203934,Lamar Patterson
203488,Mike Muscala
203118,Mike Scott
200794,Paul Millsap
202714,Shelvin Mack
200757,Thabo Sefolosha
201168,Tiago Splitter
203501,Tim Hardaway Jr.
204002,Walter Tavares
101161,Amir Johnson
202340,Avery Bradley
1626262,Coty Clarke
101135,David Lee
202323,Evan Turner
202738,Isaiah Thomas
203109,Jae Crowder
203923,James Young
203096,Jared Sullinger
201973,Jonas Jerebko
1626175,Jordan Mickey
203482,Kelly Olynyk
203935,Marcus Smart
1626154,RJ Hunter
1626179,Terry Rozier
203092,Tyler Zeller
2760,Anderson Varejao
101112,Channing Frye
2563,Dahntay Jones
202697,Iman Shumpert
2747,J.R. Smith
2592,James Jones
203099,Jared Cunningham
203925,Joe Harris
203895,Jordan McRae
201567,Kevin Love
202681,Kyrie Irving
2544,LeBron James
203521,Matthew Dellavedova
2590,Mo Williams
2210,Richard Jefferson
201619,Sasha Kaun
202389,Timofey Mozgov
202684,Tristan Thompson
201582,Alexis Ajinca
202087,Alonzo Gee
203076,Anthony Davis
1626214,Bryce Dejean-Jones
201967,Dante Cunningham
201569,Eric Gordon
202397,Ish Smith
203516,James Ennis
202690,Jimmer Fredette
202706,Jordan Hamilton
201950,Jrue Holiday
2570,Kendrick Perkins
202337,Luke Babbitt
101126,Nate Robinson
202708,Norris Cole
201600,Omer Asik
203111,Orlando Johnson
201583,Ryan Anderson
204025,Tim Frazier
201962,Toney Douglas
201936,Tyreke Evans
201166,Aaron Brooks
1626171,Bobby Portis
203946,Cameron Bairstow
1626245,Cristiano Felicio
201565,Derrick Rose
203926,Doug McDermott
202734,E'Twaun Moore
202710,Jimmy Butler
201149,Joakim Noah
203200,Justin Holiday
2550,Kirk Hinrich
2399,Mike Dunleavy
202703,Nikola Mirotic
2200,Pau Gasol
201959,Taj Gibson
203503,Tony Snell
202718,Chandler Parsons
101111,Charlie Villanueva
101135,David Lee
101114,Deron Williams
2734,Devin Harris
1717,Dirk Nowitzki
203939,Dwight Powell
201580,JaVale McGee
202379,Jeremy Evans
203098,John Jenkins
200826,Jose Juan Barea
1626147,Justin Anderson
101109,Raymond Felton
1626257,Salah Mejri
202083,Wesley Matthews
2585,Zaza Pachulia
1626253,Axel Toupane
201571,D.J. Augustin
201568,Danilo Gallinari
201589,Darrell Arthur
1626144,Emmanuel Mudiay
203475,Erick Green
203914,Gary Harris
201581,JJ Hickson
203960,JaKarr Sampson
2749,Jameer Nelson
203530,Joffrey Lauvergne
203994,Jusuf Nurkic
202702,Kenneth Faried
203123,Kostas Papanikolaou
2034,Mike Miller
203999,Nikola Jokic
200751,Randy Foye
203930,Sean Kilpatrick
203115,Will Barton
2760,Anderson Varejao
2738,Andre Iguodala
101106,Andrew Bogut
201575,Brandon Rush
203110,Draymond Green
203105,Festus Ezeli
203084,Harrison Barnes
203546,Ian Clark
203949,James Michael McAdoo
201574,Jason Thompson
1626172,Kevon Looney
202691,Klay Thompson
2571,Leandro Barbosa
201578,Marreese Speights
2733,Shaun Livingston
201939,Stephen Curry
202726,Andrew Goudelock
101236,Charles Hayes
203991,Clint Capela
201147,Corey Brewer
202700,Donatas Motiejunas
2730,Dwight Howard
201935,James Harden
1891,Jason Terry
2746,Josh Smith
203909,KJ McDaniels
201977,Marcus Thornton
201563,Michael Beasley
1626149,Montrezl Harrell
201976,Patrick Beverley
1626155,Sam Dekker
203093,Terrence Jones
2772,Trevor Ariza
201951,Ty Lawson
1627293,Alex Stepheson
203085,Austin Rivers
201933,Blake Griffin
1626183,Branden Dawson
203912,CJ Wilcox
101108,Chris Paul
202332,Cole Aldrich
201599,DeAndre Jordan
200755,JJ Redick
2037,Jamal Crawford
201965,Jeff Ayres
201145,Jeff Green
2746,Josh Smith
202362,Lance Stephenson
201601,Luc Mbah a Moute
203143,Pablo Prigioni
1718,Paul Pierce
202325,Wesley Johnson
1626148,Anthony Brown
101138,Brandon Bass
1626156,D'Angelo Russell
203903,Jordan Clarkson
203944,Julius Randle
977,Kobe Bryant
1626204,Larry Nance Jr.
101150,Lou Williams
1626273,Marcelo Huertas
1897,Metta World Peace
201156,Nick Young
203135,Robert Sacre
201579,Roy Hibbert
203527,Ryan Kelly
204028,Tarik Black
2405,Amar'e Stoudemire
2757,Beno Udrih
1627362,Briante Weber
2365,Chris Andersen
2547,Chris Bosh
2548,Dwyane Wade
101123,Gerald Green
201609,Goran Dragic
202355,Hassan Whiteside
203516,James Ennis
203950,Jarnell Stokes
2207,Joe Johnson
201177,Josh McRoberts
1626196,Josh Richardson
1626159,Justise Winslow
2736,Luol Deng
201596,Mario Chalmers
204020,Tyler Johnson
2617,Udonis Haslem
203142,Chris Copeland
203996,Damien Inglis
203507,Giannis Antetokounmpo
202328,Greg Monroe
202349,Greivis Vasquez
203953,Jabari Parker
203099,Jared Cunningham
201573,Jerryd Bayless
203089,John Henson
203948,Johnny O'Bryant
203114,Khris Middleton
203487,Michael Carter-Williams
203101,Miles Plumlee
201564,O.J. Mayo
1626173,Rashad Vaughn
200779,Steve Novak
203898,Tyler Ennis
203940,Adreian Payne
1889,Andre Miller
203952,Andrew Wiggins
204014,Damjan Rudez
203476,Gorgui Dieng
202962,Greg Smith
1626157,Karl-Anthony Towns
708,Kevin Garnett
2755,Kevin Martin
202357,Nemanja Bjelica
201593,Nikola Pekovic
201937,Ricky Rubio
203498,Shabazz Muhammad
2419,Tayshaun Prince
1626145,Tyus Jones
203897,Zach LaVine
200745,Andrea Bargnani
202711,Bojan Bogdanovic
201572,Brook Lopez
1626191,Chris McCullough
202388,Donald Sloan
203156,Henry Sims
101127,Jarrett Jack
2207,Joe Johnson
203900,Markel Brown
1626178,Rondae Hollis-Jefferson
203930,Sean Kilpatrick
203508,Sergey Karasev
203499,Shane Larkin
201152,Thaddeus Young
203080,Thomas Robinson
201961,Wayne Ellington
203186,Willie Reed
201167,Arron Afflalo
2546,Carmelo Anthony
203921,Cleanthony Early
202682,Derrick Williams
1626170,Jerian Grant
202690,Jimmer Fredette
101181,Jose Calderon
202338,Kevin Seraphin
204001,Kristaps Porzingis
203124,Kyle O'Quinn
202498,Lance Thomas
204038,Langston Galloway
200811,Lou Amundson
201577,Robin Lopez
2756,Sasha Vujacic
203648,Thanasis Antetokounmpo
203932,Aaron Gordon
203094,Andrew Nicholson
201943,Brandon Jennings
201228,CJ Watson
101112,Channing Frye
203906,Devyn Marble
203473,Dewayne Dedmon
203901,Elfrid Payton
101141,Ersan Ilyasova
203095,Evan Fournier
201160,Jason Smith
203951,Keith Appling
1626209,Mario Hezonja
202696,Nikola Vucevic
203894,Shabazz Napier
202699,Tobias Harris
203506,Victor Oladipo
101139,CJ Miles
201978,Chase Budinger
201588,George Hill
203922,Glenn Robinson
101133,Ian Mahinmi
1626202,Joe Young
201941,Jordan Hill
202730,Lavoy Allen
101145,Monta Ellis
1626167,Myles Turner
202331,Paul George
1626176,Rakeem Christmas
201155,Rodney Stuckey
203963,Shayne Whittington
203524,Solomon Hill
201951,Ty Lawson
201171,Carl Landry
1626174,Christian Wood
1882,Elton Brand
203138,Hollis Thompson
203477,Isaiah Canaan
202397,Ish Smith
203960,JaKarr Sampson
1626143,Jahlil Okafor
203924,Jerami Grant
203088,Kendall Marshall
