GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted By,203934.0,"Patterson, Lamar",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",8.0,8.0,1.0,5.0,5.0,1.0,1.313,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",8.0,8.0,1.0,5.0,5.0,1.0,1.313,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200757
Assisted By,201168.0,"Splitter, Tiago",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201168
Assisted By,203946.0,"Bairstow, Cameron",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203946
Assisted By,201166.0,"Brooks, Aaron",7.0,7.0,1.0,5.0,5.0,1.0,1.357,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201166
Assisted By,202710.0,"Butler, Jimmy",12.0,12.0,1.0,7.0,7.0,1.0,1.292,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202710
Assisted By,1626245.0,"Felicio, Cristiano",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,1626245
Assisted By,2200.0,"Gasol, Pau",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2200
Assisted By,201959.0,"Gibson, Taj",3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201959
Assisted By,201143.0,"Horford, Al",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2594.0,"Korver, Kyle",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,203926.0,"McDermott, Doug",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203926
Assisted By,200794.0,"Millsap, Paul",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
Assisted By,202703.0,"Mirotic, Nikola",5.0,5.0,1.0,2.0,2.0,1.0,1.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202703
Assisted By,202734.0,"Moore, E'Twaun",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202734
Assisted By,203488.0,"Muscala, Mike",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203488
Assisted By,203934.0,"Patterson, Lamar",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,1626171.0,"Portis, Bobby",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,1626171
Assisted By,201565.0,"Rose, Derrick",5.0,5.0,1.0,2.0,2.0,1.0,1.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201565
Assisted By,203471.0,"Schroder, Dennis",4.0,4.0,1.0,1.0,1.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203118
Assisted By,201952.0,"Teague, Jeff",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,203501.0,"Hardaway Jr., Tim",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,203200.0,"Holiday, Justin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203200
Assisted By,201143.0,"Horford, Al",36.0,36.0,1.0,13.0,13.0,1.0,1.181,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201143
Assisted By,2594.0,"Korver, Kyle",27.0,27.0,1.0,13.0,13.0,1.0,1.241,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202714.0,"Mack, Shelvin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,202714
Assisted By,200794.0,"Millsap, Paul",48.0,48.0,1.0,21.0,21.0,1.0,1.219,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200794
Assisted By,203488.0,"Muscala, Mike",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203488
Assisted By,203934.0,"Patterson, Lamar",2.0,2.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203934
Assisted By,203471.0,"Schroder, Dennis",27.0,27.0,1.0,12.0,12.0,1.0,1.222,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,203118.0,"Scott, Mike",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203118
Assisted By,200757.0,"Sefolosha, Thabo",10.0,10.0,1.0,6.0,6.0,1.0,1.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,200757
Assisted By,201168.0,"Splitter, Tiago",4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201168
Assisted By,201952.0,"Teague, Jeff",51.0,51.0,1.0,29.0,29.0,1.0,1.284,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,201166.0,"Brooks, Aaron",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,201166
