"GAME_ID","GAME_DATE","MATCHUP","HomeTeam","AwayTeam","HomeTeam_WL"
21500097,"2015-11-08","OKC vs. PHX","OKC","PHX","W"
21500098,"2015-11-08","POR vs. DET","POR","DET","L"
21500099,"2015-11-09","IND vs. ORL","IND","ORL","W"
21500100,"2015-11-09","PHI vs. CHI","PHI","CHI","L"
21500101,"2015-11-09","ATL vs. MIN","ATL","MIN","L"
21500102,"2015-11-09","DEN vs. POR","DEN","POR","W"
21500103,"2015-11-09","SAC vs. SAS","SAC","SAS","L"
21500104,"2015-11-09","GSW vs. DET","GSW","DET","W"
21500105,"2015-11-09","LAC vs. MEM","LAC","MEM","W"
21500106,"2015-11-10","CLE vs. UTA","CLE","UTA","W"
21500107,"2015-11-10","WAS vs. OKC","WAS","OKC","L"
21500108,"2015-11-10","MIA vs. LAL","MIA","LAL","W"
21500109,"2015-11-10","TOR vs. NYK","TOR","NYK","L"
21500110,"2015-11-10","MIL vs. BOS","MIL","BOS","L"
21500111,"2015-11-10","MIN vs. CHA","MIN","CHA","L"
21500112,"2015-11-10","NOP vs. DAL","NOP","DAL","W"
21500113,"2015-11-11","CHA vs. NYK","CHA","NYK","W"
21500114,"2015-11-11","ORL vs. LAL","ORL","LAL","W"
21500115,"2015-11-11","PHI vs. TOR","PHI","TOR","L"
21500116,"2015-11-11","BOS vs. IND","BOS","IND","L"
21500117,"2015-11-11","ATL vs. NOP","ATL","NOP","W"
21500118,"2015-11-11","DAL vs. LAC","DAL","LAC","W"
21500119,"2015-11-11","HOU vs. BKN","HOU","BKN","L"
21500120,"2015-11-11","MEM vs. GSW","MEM","GSW","L"
21500121,"2015-11-11","DEN vs. MIL","DEN","MIL","W"
21500122,"2015-11-11","SAC vs. DET","SAC","DET","W"
21500123,"2015-11-11","POR vs. SAS","POR","SAS","L"
21500124,"2015-11-12","MIA vs. UTA","MIA","UTA","W"
21500125,"2015-11-12","MIN vs. GSW","MIN","GSW","L"
21500126,"2015-11-12","PHX vs. LAC","PHX","LAC","W"
21500127,"2015-11-13","IND vs. MIN","IND","MIN","W"
21500128,"2015-11-13","ORL vs. UTA","ORL","UTA","W"
21500129,"2015-11-13","BOS vs. ATL","BOS","ATL","W"
21500130,"2015-11-13","NYK vs. CLE","NYK","CLE","L"
21500131,"2015-11-13","TOR vs. NOP","TOR","NOP","W"
21500132,"2015-11-13","CHI vs. CHA","CHI","CHA","W"
21500133,"2015-11-13","MEM vs. POR","MEM","POR","W"
21500134,"2015-11-13","OKC vs. PHI","OKC","PHI","W"
21500135,"2015-11-13","DAL vs. LAL","DAL","LAL","W"
21500136,"2015-11-13","DEN vs. HOU","DEN","HOU","W"
21500137,"2015-11-13","SAC vs. BKN","SAC","BKN","W"
21500138,"2015-11-14","LAC vs. DET","LAC","DET","W"
21500139,"2015-11-14","WAS vs. ORL","WAS","ORL","W"
21500140,"2015-11-14","HOU vs. DAL","HOU","DAL","L"
21500141,"2015-11-14","MIL vs. CLE","MIL","CLE","W"
21500142,"2015-11-14","SAS vs. PHI","SAS","PHI","W"
21500143,"2015-11-14","PHX vs. DEN","PHX","DEN","W"
21500144,"2015-11-14","GSW vs. BKN","GSW","BKN","W"
21500145,"2015-11-15","NYK vs. NOP","NYK","NOP","W"
21500146,"2015-11-15","MIN vs. MEM","MIN","MEM","L"
21500147,"2015-11-15","CHA vs. POR","CHA","POR","W"
21500148,"2015-11-15","ATL vs. UTA","ATL","UTA","L"
21500149,"2015-11-15","OKC vs. BOS","OKC","BOS","L"
21500150,"2015-11-15","SAC vs. TOR","SAC","TOR","W"
21500151,"2015-11-15","LAL vs. DET","LAL","DET","W"
21500152,"2015-11-16","PHI vs. DAL","PHI","DAL","L"
21500153,"2015-11-16","CHI vs. IND","CHI","IND","W"
21500154,"2015-11-16","HOU vs. BOS","HOU","BOS","L"
21500155,"2015-11-16","MEM vs. OKC","MEM","OKC","W"
21500156,"2015-11-16","SAS vs. POR","SAS","POR","W"
21500157,"2015-11-16","PHX vs. LAL","PHX","LAL","W"
21500158,"2015-11-17","WAS vs. MIL","WAS","MIL","W"
21500159,"2015-11-17","BKN vs. ATL","BKN","ATL","W"
21500160,"2015-11-17","DET vs. CLE","DET","CLE","W"
21500161,"2015-11-17","MIA vs. MIN","MIA","MIN","L"
21500162,"2015-11-17","NYK vs. CHA","NYK","CHA","W"
21500163,"2015-11-17","NOP vs. DEN","NOP","DEN","L"
21500164,"2015-11-17","GSW vs. TOR","GSW","TOR","W"
21500165,"2015-11-18","CHA vs. BKN","CHA","BKN","W"
21500166,"2015-11-18","ORL vs. MIN","ORL","MIN","W"
21500167,"2015-11-18","PHI vs. IND","PHI","IND","L"
21500168,"2015-11-18","BOS vs. DAL","BOS","DAL","L"
21500169,"2015-11-18","ATL vs. SAC","ATL","SAC","W"
21500170,"2015-11-18","HOU vs. POR","HOU","POR","W"
21500171,"2015-11-18","OKC vs. NOP","OKC","NOP","W"
21500172,"2015-11-18","SAS vs. DEN","SAS","DEN","W"
21500173,"2015-11-18","UTA vs. TOR","UTA","TOR","W"
21500174,"2015-11-18","PHX vs. CHI","PHX","CHI","L"
21500175,"2015-11-19","MIA vs. SAC","MIA","SAC","W"
21500176,"2015-11-19","CLE vs. MIL","CLE","MIL","W"
21500177,"2015-11-19","LAC vs. GSW","LAC","GSW","L"
21500178,"2015-11-20","CHA vs. PHI","CHA","PHI","W"
21500179,"2015-11-20","BOS vs. BKN","BOS","BKN","W"
21500180,"2015-11-20","MEM vs. HOU","MEM","HOU","W"
21500181,"2015-11-20","MIN vs. DET","MIN","DET","L"
21500182,"2015-11-20","NOP vs. SAS","NOP","SAS","W"
21500183,"2015-11-20","OKC vs. NYK","OKC","NYK","L"
21500184,"2015-11-20","DAL vs. UTA","DAL","UTA","W"
21500185,"2015-11-20","DEN vs. PHX","DEN","PHX","L"
21500186,"2015-11-20","POR vs. LAC","POR","LAC","W"
21500187,"2015-11-20","GSW vs. CHI","GSW","CHI","W"
21500188,"2015-11-20","LAL vs. TOR","LAL","TOR","L"
21500189,"2015-11-21","ORL vs. SAC","ORL","SAC","L"
21500190,"2015-11-21","IND vs. MIL","IND","MIL","W"
21500191,"2015-11-21","CLE vs. ATL","CLE","ATL","W"
21500192,"2015-11-21","DET vs. WAS","DET","WAS","L"
21500193,"2015-11-21","MIA vs. PHI","MIA","PHI","W"
21500194,"2015-11-21","HOU vs. NYK","HOU","NYK","L"
21500195,"2015-11-21","SAS vs. MEM","SAS","MEM","W"
21500196,"2015-11-22","LAC vs. TOR","LAC","TOR","L"
21500197,"2015-11-22","BKN vs. BOS","BKN","BOS","W"
21500198,"2015-11-22","NOP vs. PHX","NOP","PHX","W"
21500199,"2015-11-22","OKC vs. DAL","OKC","DAL","W"
21500200,"2015-11-22","DEN vs. GSW","DEN","GSW","L"
21500201,"2015-11-22","LAL vs. POR","LAL","POR","L"
21500202,"2015-11-23","CHA vs. SAC","CHA","SAC","W"
21500203,"2015-11-23","CLE vs. ORL","CLE","ORL","W"
21500204,"2015-11-23","MIA vs. NYK","MIA","NYK","W"
21500205,"2015-11-23","MIL vs. DET","MIL","DET","W"
21500206,"2015-11-23","MIN vs. PHI","MIN","PHI","W"
21500207,"2015-11-23","SAS vs. PHX","SAS","PHX","W"
21500208,"2015-11-23","UTA vs. OKC","UTA","OKC","L"
21500209,"2015-11-24","WAS vs. IND","WAS","IND","L"
21500210,"2015-11-24","ATL vs. BOS","ATL","BOS","W"
21500211,"2015-11-24","MEM vs. DAL","MEM","DAL","W"
21500212,"2015-11-24","DEN vs. LAC","DEN","LAC","L"
21500213,"2015-11-24","POR vs. CHI","POR","CHI","L"
21500214,"2015-11-24","GSW vs. LAL","GSW","LAL","W"
21500215,"2015-11-25","CHA vs. WAS","CHA","WAS","W"
21500216,"2015-11-25","ORL vs. NYK","ORL","NYK","W"
21500217,"2015-11-25","BOS vs. PHI","BOS","PHI","W"
21500218,"2015-11-25","DET vs. MIA","DET","MIA","W"
21500219,"2015-11-25","TOR vs. CLE","TOR","CLE","W"
21500220,"2015-11-25","HOU vs. MEM","HOU","MEM","L"
21500221,"2015-11-25","MIL vs. SAC","MIL","SAC","L"
21500222,"2015-11-25","MIN vs. ATL","MIN","ATL","W"
