PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,received,79.0,"Teague, Jeff",201952.0,0.015,0.72,0.04,0.04,0.18,0.214,0.03,0.1,0.25,0.01,0.08,0.167
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,received,79.0,"Holiday, Justin",203200.0,0.01,0.49,0.0,0.03,0.06,0.4,0.03,0.05,0.5,0.0,0.01,0.0
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,received,79.0,"Hinrich, Kirk",2550.0,0.004,0.2,0.0,0.0,0.09,0.0,0.0,0.05,0.0,0.0,0.04,0.0
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,received,79.0,"Tavares, Walter",204002.0,0.003,0.13,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.0
203471.0,"Schroder, Dennis",Atlanta Hawks,1610612737.0,received,79.0,"Mack, Shelvin",202714.0,0.001,0.03,0.01,0.01,0.01,1.0,0.01,0.01,1.0,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Horford, Al",201143.0,0.246,15.5,0.35,1.29,2.81,0.461,0.95,1.95,0.487,0.35,0.86,0.403
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Millsap, Paul",200794.0,0.236,14.91,0.47,1.28,2.97,0.431,0.88,2.14,0.413,0.4,0.83,0.477
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Bazemore, Kent",203145.0,0.17,10.73,0.23,0.63,1.76,0.358,0.46,1.1,0.419,0.17,0.65,0.255
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Korver, Kyle",2594.0,0.1,6.32,0.19,0.59,1.15,0.511,0.41,0.85,0.485,0.18,0.31,0.583
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Sefolosha, Thabo",200757.0,0.085,5.38,0.09,0.38,0.85,0.455,0.32,0.63,0.51,0.06,0.22,0.294
