"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","elo_i","opp_id","opp_elo_i","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500016,"LAC",16,"NBA",1,2015,2015-10-28,1,0,1647.157325,"SAC",1439.96015,"A",0.649553362254088,"W","W","1",111,104,2004,2882,203177,48,42,80,0.525,6,19,0.316,21,31,0.677,6,36,42,20,8,9,15,19,111,7,108.1,96.4,11.8,0.476,1.33,15.5,0.14,0.75,0.462,0.146,0.563,0.593,0.2,105.28,0.571,0.1246,0.285,0,0,0,0,0,0,1,0,0,0,0,17458,2.33333333333333
21500017,"LAL",17,"NBA",0,2015,2015-10-28,1,0,1338.679625,"MIN",1324.2185,"H",0.659011268031344,"W","W","0",111,112,1194,1664,202037,48,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,111,-1,103.4,110.6,-7.2,0.514,1.29,13.1,0.267,0.857,0.552,0.13,0.439,0.527,0.198,104.34,0.446,0.0954,0.358,0,0,0,0,0,0,0,1,0,0,0,18997,2.58333333333333
21500018,"MEM",18,"NBA",1,2015,2015-10-29,2,0,1566.34539527342,"IND",1500.83343323747,"A",0.443739861959646,"W","E","1",76,99,1162,201639,202049,48,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,76,-30,78.6,107.6,-29,0.517,0.94,12.2,0.208,0.707,0.426,0.165,0.366,0.414,0.2,97.58,0.3,0.1002,0.233,0,0,1,1,1,1,1,0,1,0,1,18165,2.3
21500019,"ATL",19,"NBA",1,2015,2015-10-29,2,0,1552.80506127878,"NYK",1347.91616967044,"A",0.634464516952138,"E","E","1",94,122,1146,1201,202058,48,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,94,-12,97.3,106.6,-9.3,0.595,1.47,17.5,0.163,0.589,0.404,0.155,0.5,0.53,0.2,98.02,0.462,0.0692,0.341,1,1,1,1,1,1,1,0,1,0,0,19812,2.36666666666667
21500020,"DAL",20,"NBA",1,2015,2015-10-29,2,0,1554.47506941081,"LAC",1650.51695733361,"A",0.247566847275468,"W","W","0",111,111,1148,1151,200833,48,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,111,16,110.3,89.2,21.1,0.6,3,18.4,0.13,0.764,0.475,0.079,0.529,0.563,0.2,103.58,0.677,0.1108,0.23,0,0,1,1,0,1,2,0,0,1,1,19218,2.4
21500021,"MIA",21,"NBA",1,2015,2015-10-30,2,0,1477.00047665419,"CLE",1660.9920742032,"A",0.154537704331407,"E","E","0",104,95,1152,1179,202027,48,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104,10,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94,0.591,0.1136,0.336,1,1,1,1,1,1,1,0,0,1,0,20562,2.28333333333333
21500022,"ORL",22,"NBA",0,2015,2015-10-30,2,0,1358.72762475879,"OKC",1574.53563005451,"H",0.342530048194404,"E","W","0",87,112,1153,1168,203593,58,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,87,-1,83.4,89.8,-6.4,0.541,1.25,14.2,0.333,0.722,0.533,0.153,0.395,0.413,0.197,101.14,0.482,0.1144,0.242,1,1,1,1,1,1,0,2,1,0,0,18846,3.11666666666667
21500023,"UTA",23,"NBA",1,2015,2015-10-30,2,0,1540.14154389668,"PHI",1326.7936834655,"A",0.655637144395464,"W","E","1",87,95,2530,200834,204058,48,35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,87,-5,94.3,99,-4.6,0.429,1.25,13.5,0.103,0.81,0.469,0.13,0.48,0.516,0.2,92.6,0.482,0.113,0.283,1,1,1,1,1,1,2,0,1,0,0,17122,2.25
21500024,"TOR",24,"NBA",1,2015,2015-10-30,2,0,1510.06237877608,"BOS",1526.17882283393,"A",0.338628746639172,"E","E","1",106,112,1147,2715,204059,48,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,106,7,97.1,94.6,2.5,0.528,0.9,13.9,0.22,0.837,0.556,0.192,0.494,0.545,0.198,106.9,0.523,0.1308,0.3,1,1,1,1,1,1,1,0,0,1,0,16898,2.48333333333333
21500025,"CHI",25,"NBA",1,2015,2015-10-30,3,0,1584.51095097038,"DET",1496.28053282052,"A",0.483862716950179,"E","E","0",106,99,1174,1363,201245,53,39.5,82.5,0.4815,10.5,23.5,0.434,16.5,21.5,0.773,6,37,43,16.5,7.5,6.5,16,23,106,8.5,103.55,95.65,7.85,0.4135,1,13.2,0.1495,0.732,0.4745,0.161,0.547,0.5805,0.199,102.18,0.5185,0.1167,0.29,2,2,2,2,2,2,2,0,0,2,0,16035,2.55
