"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
15,21500015,"NBA",0,2015,"2015-10-28",1,0,"POR",NA,112,1543.804175,1552.81405965512,NA,"NOP",NA,94,1517.38822744224,1508.95563847183,"H","W",0.674302259320613,"W","W",1,112,94
16,21500016,"NBA",0,2015,"2015-10-28",1,0,"SAC",NA,104,1439.96015,1436.86146570737,NA,"LAC",NA,111,1647.157325,1652.5880485531,"H","L",0.350446637745912,"W","W",0,104,111
16,21500016,"NBA",1,2015,"2015-10-28",1,0,"LAC",NA,111,1647.157325,1652.5880485531,NA,"SAC",NA,104,1439.96015,1436.86146570737,"A","W",0.649553362254088,"W","W",1,111,104
17,21500017,"NBA",0,2015,"2015-10-28",1,0,"LAL",NA,111,1338.679625,1335.87655195237,NA,"MIN",NA,112,1324.2185,1330.08281880325,"H","L",0.659011268031344,"W","W",0,111,112
17,21500017,"NBA",1,2015,"2015-10-28",1,0,"MIN",NA,112,1324.2185,1330.08281880325,NA,"LAL",NA,111,1338.679625,1335.87655195237,"A","W",0.340988731968656,"W","W",1,112,111
18,21500018,"NBA",0,2015,"2015-10-29",2,0,"IND",NA,103,1501.71089811024,1495.68062135576,NA,"MEM",NA,112,1562.45109998994,1573.63132948179,"H","L",0.556260138040354,"E","W",0,99,76
18,21500018,"NBA",1,2015,"2015-10-29",2,0,"MEM",NA,112,1562.45109998994,1573.63132948179,NA,"IND",NA,103,1501.71089811024,1495.68062135576,"A","W",0.443739861959646,"W","E",1,76,99
19,21500019,"NBA",1,2015,"2015-10-29",2,0,"ATL",NA,112,1551.7888278525,1559.26592557404,NA,"NYK",NA,101,1355.99770871443,1350.42590428576,"A","W",0.634464516952138,"E","E",1,94,122
19,21500019,"NBA",0,2015,"2015-10-29",2,0,"NYK",NA,101,1355.99770871443,1350.42590428576,NA,"ATL",NA,112,1551.7888278525,1559.26592557404,"H","L",0.365535483047862,"E","E",0,122,94
20,21500020,"NBA",1,2015,"2015-10-29",2,0,"DAL",NA,88,1559.47787391889,1553.40077653065,NA,"LAC",NA,104,1652.5880485531,1658.61745586643,"A","L",0.247566847275468,"W","W",0,111,111
20,21500020,"NBA",0,2015,"2015-10-29",2,0,"LAC",NA,104,1652.5880485531,1658.61745586643,NA,"DAL",NA,88,1559.47787391889,1553.40077653065,"H","W",0.752433152724532,"W","W",1,111,111
